ID,Nama_Laptop,Harga_Rp,CPU,RAM_GB,SSD_GB,Baterai_Jam,Skor_CPU,Skor_RAM,Skor_SSD,Skor_Baterai,Skor_Utilitas
67,Asus ExpertBook P1 P1403CVA-S63852X,9999000,"Intel® Core™ 3 Processor 100U 1.2 GHz (10MB Cache, up to 4.7 GHz, 6 Cores",8,512,7.0,60,70,80,80,69.0
68,Asus ExpertBook P1 P1403CVA-S65852WS,10499000,"Intel Core 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 12 Threads)",8,512,7.0,80,70,80,80,77.0
69,Asus ExpertBook P1 P1403CVA-S65852WS,9799000,"Intel Core 5 210H Up To 4,8 Ghz 8 Core 12 Threads",8,512,7.0,80,70,80,80,77.0
70,Asus ExpertBook P1 PM1403CDA-S65151WS,11499000,"AMD Hexa Core Ryzen 5 150 Up To 4,55hz 6 Core 12 Threads",16,512,7.0,80,90,80,80,83.0
71,Asus ExpertBook P1 PM1403CDA-S65850WS,7699000,"AMD Ryzen 5 7535HS Processor 3.3GHz (16MB Cache, up to 4.55 GHz, 6 cores, 12 Threads)",16,512,5.0,80,90,80,60,81.0
72,Asus ExpertBook P1 PM1403CDA-S65851WS,9999000,"AMD Ryzen™ 5 150 Processor 3.3GHz (16MB Cache, up to 4.55 GHz, 6 cores, 12 Threads)",8,512,7.0,60,70,80,80,69.0
73,Asus ExpertBook P1 PM1403CDA-S67151WS,13299000,"AMD Octa Core Ryzen 7 170 Up To 4,75hz 8 Core 16 Threads",16,512,7.0,100,90,80,80,91.0
74,Asus ExpertBook P5 P5405CSA-NZ5150WS – Misty Grey,16999000,"Intel Core Ultra 5 Processor 226V 16GB 1.6 GHz (8MB Cache, up to 4.5 GHz, 8 cores, 8 Threads)",16,512,7.0,80,90,80,80,83.0
75,Asus ExpertBook,47999000,Intel AI Boost NPU,32,1000,7.0,60,100,100,80,82.0
76,Asus ExpertBook,49999000,"Intel Core Ultra X7 Processor 358H 1.9 GHz (18MB Cache, up to 4.8 GHz, 16 Cores, 16 Threads); Intel AI Boost NPU up to 50 TOPS",32,1000,7.0,60,100,100,80,82.0
77,Asus Gaming V16 V3607VJ-I535K1T-HM,14499000,"Intel® Core™ 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 12 Threads)",8,512,5.0,60,70,80,60,67.0
78,Asus Gaming V16 V3607VM-I7N56B6T-HM,20999000,"Intel Core 7 240H, 10C (6P + 4E) / 16T, P-core 2.5 / 5.2GHz, E-core 1.8 / 4.0GHz, 24MB",16,512,5.0,100,90,80,60,89.0
79,Asus Gaming V16 V3607VU-I545B7T-HM – Matte Black,16499000,"Intel Core 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 12 Threads)",16,512,5.0,80,90,80,60,81.0
80,Asus Gaming V16 V3607VU-I745B7T-HM,17999000,"Intel Core 7 240H Up To 5,2Ghz 10 Core 16 Threads",16,512,5.0,100,90,80,60,89.0
81,Asus ROG STRIX G G615JHR-I7N55C6G-HM,27499000,"Intel Core i7-14650HX Up To 5,2Ghz 16 Core 24 Threads",16,512,5.0,100,90,80,60,89.0
82,Asus ROG STRIX G G615LH-I7N55C6G-HM,28499000,"Intel Core Ultra 7 Processor 255HX 2.4 GHz (30MB Cache, up to 5.2 GHz, 20 cores, 20 Threads)",16,512,5.0,100,90,80,60,89.0
83,Asus ROG Strix G16 G614PM-R9N56C6G-HM – Eclipse Gray,29999000,"AMD Ryzen 9 8940HX Processor 2.4GHz (80MB Cache, up to 5.3GHz, 16 cores, 32 Threads)",16,1000,5.0,100,90,100,60,93.0
84,Asus TUF A15 FA506NCG-R735B6T-HM,14499000,"AMD Ryzen 7 7445HS Processor 3.2GHz (22MB Cache, up to 4.7GHz, 6 cores, 12 Threads)",16,512,5.0,100,90,80,60,89.0
